day,IS_MEMBER,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION,year_month,dayofweek,weeknum
2021-02-14,false,93,34.870967742,2,660,77.878072031635142,2021-2,7,6
2021-02-14,true,381,21.776902887,1,1167,74.875224934841185,2021-2,7,6
2021-02-15,false,33,50.545454545,3,796,136.07954244954763,2021-2,1,7
2021-02-15,true,303,28.03960396,1,1361,110.24969447212217,2021-2,1,7
2021-02-16,false,48,118.6875,2,1427,314.99676957668947,2021-2,2,7
2021-02-16,true,225,33.408888889,1,1015,98.863056401204048,2021-2,2,7
2021-02-17,false,80,31.975,3,597,69.6277557802921,2021-2,3,7
2021-02-17,true,526,25.912547529,1,1060,77.147382248568078,2021-2,3,7
2021-02-18,false,110,28.809090909,1,205,41.369399198956764,2021-2,4,7
2021-02-18,true,678,18.945427729,1,857,42.501136212921644,2021-2,4,7
2021-02-19,false,145,38.868965517,1,1275,111.07147466895692,2021-2,5,7
2021-02-19,true,801,21.18227216,1,1087,66.23978863442214,2021-2,5,7
2021-02-20,false,194,45.530927835,1,868,86.378879936817441,2021-2,6,7
2021-02-20,true,912,20.560307018,1,1119,51.371226790986839,2021-2,6,7
2021-02-21,false,174,29.057471264,1,666,64.954069770972723,2021-2,7,7
2021-02-21,true,704,23.632102273,1,1337,86.297563585582893,2021-2,7,7
2021-02-22,false,202,31.024752475,2,372,47.542939228483611,2021-2,1,8
2021-02-22,true,1279,15.816262705,1,856,36.398646558017212,2021-2,1,8
2021-02-23,false,512,30.466796875,1,1036,73.103888987197465,2021-2,2,8
2021-02-23,true,2274,15.904573439,1,1261,47.449043595193871,2021-2,2,8
2021-02-24,false,520,27.911538462,1,1249,77.757907472849425,2021-2,3,8
2021-02-24,true,2577,12.540939076,1,230,12.476410507089701,2021-2,3,8
2021-02-25,false,550,21.243636364,1,945,46.588163786080663,2021-2,4,8
2021-02-25,true,2588,12.78438949,1,1336,29.405138453002742,2021-2,4,8
2021-02-26,false,878,26.085421412,1,1378,78.534372097041853,2021-2,5,8
2021-02-26,true,2996,13.115487316,1,1012,28.247015281133027,2021-2,5,8
2021-02-27,false,2976,35.718413978,1,1440,82.418593819367942,2021-2,6,8
2021-02-27,true,4196,16.19613918,1,479,16.991906175172137,2021-2,6,8
2021-02-28,false,1018,31.120825147,1,1422,62.722265988982009,2021-2,7,8
2021-02-28,true,2347,14.103962505,1,258,13.910613560930466,2021-2,7,8
2021-03-01,false,576,22.008680556,1,1111,52.537039787638925,2021-3,1,9
2021-03-01,true,2835,10.906525573,1,199,9.9493643815466264,2021-3,1,9
2021-03-02,false,792,22.006313131,1,1148,48.6781193512929,2021-3,2,9
2021-03-02,true,3259,11.923903038,1,402,14.936801794665845,2021-3,2,9
2021-03-03,false,1457,27.822237474,1,1318,45.178886106592074,2021-3,3,9
2021-03-03,true,4195,13.782598331,1,1354,32.969960429847262,2021-3,3,9
2021-03-04,false,709,18.777150917,1,234,24.85491865698798,2021-3,4,9
2021-03-04,true,3238,11.192093885,1,1040,20.905006756153355,2021-3,4,9
2021-03-05,false,1449,25.77915804,1,1214,60.031526859613415,2021-3,5,9
2021-03-05,true,3905,12.327784891,1,895,17.788085578926228,2021-3,5,9
2021-03-06,false,2633,30.246107102,1,1304,55.151686429233777,2021-3,6,9
