YEAR_MONTH,QUARTER,DAYOFWEEK,day,IS_MEMBER,AVG_DURATION,COUNT
2021-8,3,3,2021-08-10,false,25.356989247,8835
2021-8,3,4,2021-08-11,false,25.972206594,8887
2021-8,3,5,2021-08-12,false,25.648493809,10822
2021-8,3,6,2021-08-13,false,26.272927568,14524
2021-8,3,7,2021-08-14,false,32.616649086,22752
2021-8,3,1,2021-08-15,false,31.798166604,18763
2021-8,3,2,2021-08-16,false,30.046780873,10624
2021-8,3,3,2021-08-17,false,25.583069767,10750
2021-8,3,4,2021-08-18,false,26.231470508,10969
2021-8,3,5,2021-08-19,false,24.805553138,11489
2021-8,3,6,2021-08-20,false,27.887679466,14975
2021-8,3,7,2021-08-21,false,29.836029146,19351
2021-8,3,1,2021-08-22,false,33.438910804,18252
2021-8,3,2,2021-08-23,false,29.091965974,10580
2021-8,3,3,2021-08-24,false,24.664086918,6719
2021-8,3,4,2021-08-25,false,22.352415459,8280
2021-8,3,5,2021-08-26,false,28.566567164,11725
2021-8,3,6,2021-08-27,false,25.338744279,13984
2021-8,3,7,2021-08-28,false,28.993332599,18148
2021-8,3,1,2021-08-29,false,29.999458916,12937
2021-8,3,2,2021-08-30,false,25.255821304,9491
2021-8,3,3,2021-08-31,false,21.282784202,9166
2021-9,3,4,2021-09-01,false,22.616485347,10203
2021-9,3,5,2021-09-02,false,26.532252119,10852
2021-9,3,6,2021-09-03,false,26.550704943,11774
2021-9,3,7,2021-09-04,false,31.764330834,16939
2021-9,3,1,2021-09-05,false,39.61409741,21394
2021-9,3,2,2021-09-06,false,36.054594625,17749
2021-9,3,3,2021-09-07,false,22.756547931,7636
2021-9,3,4,2021-09-08,false,24.283044197,9684
2021-9,3,5,2021-09-09,false,22.513318588,10399
2021-9,3,6,2021-09-10,false,25.684751661,12644
2021-9,3,7,2021-09-11,false,31.196723861,19291
2021-9,3,1,2021-09-12,false,30.914927769,14952
2021-9,3,2,2021-09-13,false,26.745211379,8823
2021-9,3,3,2021-09-14,false,22.463954398,8947
2021-9,3,4,2021-09-15,false,26.83600872,10092
2021-9,3,5,2021-09-16,false,24.903573501,12061
2021-9,3,6,2021-09-17,false,27.700185943,13445
2021-9,3,7,2021-09-18,false,30.457096215,19602
2021-9,3,1,2021-09-19,false,30.116819352,16701
2021-9,3,2,2021-09-20,false,23.26464697,7988
2021-9,3,3,2021-09-21,false,21.619677616,6576
2021-9,3,4,2021-09-22,false,18.232979815,5846
2021-9,3,5,2021-09-23,false,20.412043748,7589
2021-9,3,6,2021-09-24,false,23.82548039,11397
2021-9,3,7,2021-09-25,false,27.991520083,17453
2021-9,3,1,2021-09-26,false,30.243470592,14741
2021-9,3,2,2021-09-27,false,24.838705826,8376
2021-9,3,3,2021-09-28,false,21.877099698,8275
2021-9,3,4,2021-09-29,false,21.936209482,8669
2021-9,3,5,2021-09-30,false,21.870727432,9128
2020-10,4,5,2020-10-01,true,12.6061821,7732
2020-10,4,6,2020-10-02,true,13.164610426,8997
2020-10,4,7,2020-10-03,true,14.752304609,7485
2020-10,4,1,2020-10-04,true,14.973618643,6823
2020-10,4,2,2020-10-05,true,12.937849079,8415
2020-10,4,3,2020-10-06,true,13.761936657,10451
2020-10,4,4,2020-10-07,true,14.098387389,11038
2020-10,4,5,2020-10-08,true,13.502305919,10408
2020-10,4,6,2020-10-09,true,16.094149174,11195
2020-10,4,7,2020-10-10,true,16.139112526,10682
2020-10,4,1,2020-10-11,true,15.928137092,9045
2020-10,4,2,2020-10-12,true,12.243630816,6555
2020-10,4,3,2020-10-13,true,13.653605793,10081
2020-10,4,4,2020-10-14,true,13.616124186,9985
2020-10,4,5,2020-10-15,true,12.48576155,8463
2020-10,4,6,2020-10-16,true,20.587834225,7480
2020-10,4,7,2020-10-17,true,14.0659175,7297
2020-10,4,1,2020-10-18,true,12.446374162,3282
2020-10,4,2,2020-10-19,true,11.657633243,5535
2020-10,4,3,2020-10-20,true,11.704608632,6835
2020-10,4,4,2020-10-21,true,13.613147572,7393
2020-10,4,5,2020-10-22,true,13.744936411,8492
2020-10,4,6,2020-10-23,true,10.980619381,5005
2020-10,4,7,2020-10-24,true,14.20950324,6945
2020-10,4,1,2020-10-25,true,12.799262995,5156
2020-10,4,2,2020-10-26,true,11.356531882,5144
2020-10,4,3,2020-10-27,true,13.631122133,4839
