DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2020-12-20,false,docked_bike,77.935779817,218
2020-12-20,false,electric_bike,18.980427046,562
2020-12-20,true,electric_bike,13.295081967,1037
2020-12-21,false,classic_bike,24.905617978,445
2020-12-21,true,classic_bike,12.600694444,2304
2020-12-21,false,docked_bike,69.722972973,148
2020-12-21,false,electric_bike,16.285420945,487
2020-12-21,true,electric_bike,11.202922078,1232
2020-12-22,false,classic_bike,26.012631579,475
2020-12-22,true,classic_bike,13.220105391,2467
2020-12-22,false,docked_bike,38.985611511,139
2020-12-22,false,electric_bike,14.511827957,465
2020-12-22,true,electric_bike,11.61471519,1264
2020-12-23,false,classic_bike,26.955334988,403
2020-12-23,true,classic_bike,13.213079255,2309
2020-12-23,false,docked_bike,32.556338028,142
2020-12-23,false,electric_bike,16.574257426,505
2020-12-23,true,electric_bike,11.493705036,1112
2020-12-24,false,classic_bike,23.075268817,93
2020-12-24,true,classic_bike,11.906288533,811
2020-12-24,false,docked_bike,15.391304348,23
2020-12-24,false,electric_bike,12.25170068,147
2020-12-24,true,electric_bike,10.235074627,536
2020-12-25,false,classic_bike,41.514563107,103
2020-12-25,true,classic_bike,12.405405405,333
2020-12-25,false,docked_bike,34.816666667,60
2020-12-25,false,electric_bike,19.04950495,101
2020-12-25,true,electric_bike,12.573770492,244
2020-12-26,false,classic_bike,39.383647799,318
2020-12-26,true,classic_bike,13.876824818,1096
2020-12-26,false,docked_bike,78.636363636,132
2020-12-26,false,electric_bike,20.164609053,243
2020-12-26,true,electric_bike,12.551903114,578
2020-12-27,false,classic_bike,29.014767932,474
2020-12-27,true,classic_bike,14.379923761,1574
2020-12-27,false,docked_bike,133.549800797,251
2020-12-27,false,electric_bike,20.689903846,416
2020-12-27,true,electric_bike,13.989218329,742
2020-12-28,false,classic_bike,22.142857143,266
2020-12-28,true,classic_bike,13.975959079,1955
2020-12-28,false,docked_bike,50.503703704,135
2020-12-28,false,electric_bike,16.565982405,341
2020-12-28,true,electric_bike,11.802603037,922
2020-12-29,false,classic_bike,23.445414847,229
2020-12-29,true,classic_bike,13.464739069,1418
2020-12-29,false,docked_bike,30.670731707,82
2020-12-29,false,electric_bike,14.216814159,226
2020-12-29,true,electric_bike,11.221884498,658
2020-12-30,false,classic_bike,30.709677419,124
2020-12-30,true,classic_bike,12.123046875,1024
2020-12-30,false,docked_bike,32.825,40
2020-12-30,false,electric_bike,17.088435374,147
2020-12-30,true,electric_bike,11.099190283,494
2020-12-31,false,classic_bike,31.604255319,235
2020-12-31,true,classic_bike,12.95568263,1399
2020-12-31,false,docked_bike,117.139240506,79
2020-12-31,false,electric_bike,14.75308642,243
2020-12-31,true,electric_bike,12.857142857,721
2021-01-01,false,classic_bike,41.163265306,98
2021-01-01,true,classic_bike,12.545988258,511
2021-01-01,false,docked_bike,116.978723404,47
2021-01-01,false,electric_bike,14.929133858,127
2021-01-01,true,electric_bike,12.320754717,265
2021-01-02,false,classic_bike,25.252,250
2021-01-02,true,classic_bike,13.267111853,1198
2021-01-02,false,docked_bike,239.990990991,111
2021-01-02,false,electric_bike,16.623595506,178
2021-01-02,true,electric_bike,12.469902913,515
2021-01-03,false,classic_bike,24.920962199,291
2021-01-03,true,classic_bike,12.748012719,1258
2021-01-03,false,docked_bike,70.540540541,74
2021-01-03,false,electric_bike,15.781553398,206
2021-01-03,true,electric_bike,11.498062016,516
2021-01-04,false,classic_bike,16.995555556,225
2021-01-04,true,classic_bike,15.437053326,1819
2021-01-04,false,docked_bike,39.936170213,47
2021-01-04,false,electric_bike,13.056451613,248
2021-01-04,true,electric_bike,10.955773956,814
2021-01-05,false,classic_bike,17.764505119,293
2021-01-05,true,classic_bike,11.80486685,2178
2021-01-05,false,docked_bike,98,90
2021-01-05,false,electric_bike,14.940944882,254
2021-01-05,true,electric_bike,11.18819939,983
2021-01-06,false,classic_bike,32.810289389,311
2021-01-06,true,classic_bike,15.492279746,2202
2021-01-06,false,docked_bike,36.438596491,114
2021-01-06,false,electric_bike,13.448148148,270
2021-01-06,true,electric_bike,13.029946524,935
2021-01-07,false,classic_bike,22,326
2021-01-07,true,classic_bike,11.894660895,2079
2021-01-07,false,docked_bike,37.932432432,74
2021-01-07,false,electric_bike,13.473053892,334
2021-01-07,true,electric_bike,11.687128713,1010
2021-01-08,false,classic_bike,18.446886447,273
2021-01-08,true,classic_bike,12.307361377,2092
2021-01-08,false,docked_bike,64.422535211,71
2021-01-08,false,electric_bike,12.471641791,335
2021-01-08,true,electric_bike,12.715370019,1054
2021-01-09,false,classic_bike,27.600811908,739
2021-01-09,true,classic_bike,13.921895006,2343
2021-01-09,false,docked_bike,63.457142857,210
2021-01-09,false,electric_bike,19.157175399,439
2021-01-09,true,electric_bike,12.465277778,1152
2021-01-10,false,classic_bike,19.779279279,444
2021-01-10,true,classic_bike,12.226277372,1644
2021-01-10,false,docked_bike,145.666666667,87
2021-01-10,false,electric_bike,15.247557003,307
2021-01-10,true,electric_bike,12.622908623,777
2021-01-11,false,classic_bike,25.038461538,234
2021-01-11,true,classic_bike,13.095262354,1963
