station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
TA1309000002,6,17,false,29,27,-2,41.87784,-87.62408
13206,6,17,false,2,5,3,41.87794,-87.66201
638,6,17,false,1,8,7,41.87827,-87.64078
TA1305000005,6,17,false,4,7,3,41.87924,-87.62975
13011,6,17,false,10,6,-4,41.87931,-87.63993
TA1309000008,6,17,false,9,9,0,41.87933,-87.6355
KA1503000015,6,17,false,9,14,5,41.87948,-87.6257
TA1309000007,6,17,false,3,7,4,41.88022,-87.63526
WL-011,6,17,false,6,5,-1,41.88034,-87.64273
13156,6,17,false,12,9,-3,41.88042,-87.65554
13300,6,17,false,102,91,-11,41.88097,-87.61675
13008,6,17,false,30,41,11,41.88105,-87.62408
TA1305000006,6,17,false,12,27,15,41.88122,-87.6296
13134,6,17,false,3,8,5,41.88138,-87.67493
13056,6,17,false,6,4,-2,41.88168,-87.63951
TA1307000120,6,17,false,12,27,15,41.88188,-87.64879
13341,6,17,false,12,11,-1,41.88208,-87.63985
13036,6,17,false,11,14,3,41.8821,-87.62513
TA1305000032,6,17,false,11,21,10,41.88218,-87.64109
13353,6,17,false,8,2,-6,41.88283,-87.6612
654,6,17,false,3,6,3,41.88307,-87.65698
13409,6,17,false,5,14,9,41.8831,-87.6511
WL-012,6,17,false,7,10,3,41.88337,-87.6412
13053,6,17,false,22,17,-5,41.88365,-87.64863
13001,6,17,false,21,19,-2,41.88397,-87.62459
13155,6,17,false,1,10,9,41.88407,-87.65689
TA1306000010,6,17,false,10,7,-3,41.88419,-87.62961
TA1305000030,6,17,false,11,12,1,41.88459,-87.63178
15535,6,17,false,4,20,16,41.8846,-87.64455
TA1305000029,6,17,false,13,21,8,41.88466,-87.62787
13263,6,17,false,28,22,-6,41.88467,-87.61952
TA1306000015,6,17,false,10,29,19,41.88549,-87.65232
13021,6,17,false,12,19,7,41.88559,-87.64184
TA1307000111,6,17,false,6,16,10,41.88582,-87.63548
KA1503000012,6,17,false,19,21,2,41.88599,-87.63089
TA1305000011,6,17,false,33,32,-1,41.886,-87.62418
15534,6,17,false,8,7,-1,41.88627,-87.61749
TA1308000029,6,17,false,12,18,6,41.88673,-87.62225
TA1307000131,6,17,false,24,25,1,41.88688,-87.62606
KA1503000064,6,17,false,36,33,-3,41.88697,-87.61281
TA1305000022,6,17,false,6,15,9,41.88817,-87.63656
TA1306000003,6,17,false,13,11,-2,41.88867,-87.64442
KA1503000043,6,17,false,15,16,1,41.88918,-87.63851
13050,6,17,false,17,15,-2,41.88919,-87.62775
